epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1002.98,0.61259,0.86301,1.18996,0.77095,0.7875,0.81744,0.62362,0.91371,0.94409,1.81149,0.00038375,0.00038375,0.00038375
72,1017.09,0.61047,0.81268,1.18072,0.81821,0.80272,0.88173,0.63886,1.04515,0.88124,2.09668,0.000371375,0.000371375,0.000371375
73,1031.09,0.60105,0.79518,1.19012,0.84019,0.82658,0.8874,0.76405,0.59451,0.60857,1.39051,0.000359,0.000359,0.000359
74,1045.01,0.59446,0.80516,1.17446,0.88554,0.85206,0.93934,0.81048,0.58972,0.52283,1.39278,0.000346625,0.000346625,0.000346625
75,1059.29,0.62144,0.80811,1.20295,0.83552,0.81841,0.91939,0.79169,0.61321,0.61299,1.43741,0.00033425,0.00033425,0.00033425
76,1073.12,0.60626,0.82239,1.18242,0.72664,0.82785,0.88463,0.76942,0.58378,0.70849,1.37459,0.000321875,0.000321875,0.000321875
77,1087.05,0.60294,0.78878,1.19663,0.87517,0.85723,0.93288,0.80789,0.5802,0.51427,1.36657,0.0003095,0.0003095,0.0003095
78,1101.02,0.61175,0.79928,1.19126,0.86092,0.85953,0.93185,0.81272,0.57563,0.54808,1.38969,0.000297125,0.000297125,0.000297125
79,1115.03,0.61223,0.78409,1.18529,0.7719,0.85035,0.88521,0.762,0.60139,0.76744,1.42535,0.00028475,0.00028475,0.00028475
80,1129.02,0.58729,0.76992,1.1792,0.81405,0.78219,0.8847,0.77074,0.57658,0.77408,1.3748,0.000272375,0.000272375,0.000272375
81,1143.13,0.5897,0.78014,1.17257,0.83474,0.85584,0.91137,0.79249,0.58192,0.63259,1.37956,0.00026,0.00026,0.00026
82,1157.49,0.60446,0.77925,1.17918,0.83006,0.8567,0.92851,0.8143,0.57372,0.59753,1.35051,0.000247625,0.000247625,0.000247625
83,1171.56,0.60394,0.79529,1.17464,0.86852,0.83346,0.92722,0.80914,0.58011,0.55054,1.36521,0.00023525,0.00023525,0.00023525
84,1185.66,0.58695,0.76621,1.17027,0.7916,0.86776,0.92536,0.80344,0.57749,0.65386,1.37756,0.000222875,0.000222875,0.000222875
85,1199.49,0.59456,0.78308,1.17044,0.80869,0.83584,0.91126,0.79309,0.57731,0.61811,1.37273,0.0002105,0.0002105,0.0002105
86,1213.38,0.61443,0.77962,1.18351,0.88124,0.8358,0.92117,0.79838,0.5747,0.59336,1.36394,0.000198125,0.000198125,0.000198125
87,1227.47,0.60904,0.77873,1.18385,0.87005,0.87431,0.93984,0.81518,0.58397,0.54686,1.37601,0.00018575,0.00018575,0.00018575
