epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1021.36,0.33771,0.58633,1.03694,0.86577,0.88694,0.91066,0.86228,0.37869,0.56165,0.90609,0.000359,0.000359,0.000359
74,1034.92,0.34714,0.59078,1.03102,0.85346,0.86522,0.91218,0.87801,0.33279,0.51798,0.8196,0.000346625,0.000346625,0.000346625
75,1049.31,0.33616,0.61867,1.02267,0.82964,0.90535,0.90881,0.867,0.36442,0.54406,0.84455,0.00033425,0.00033425,0.00033425
76,1063.71,0.34028,0.58077,1.02716,0.76049,0.88425,0.91102,0.87784,0.30436,0.57497,0.79181,0.000321875,0.000321875,0.000321875
77,1077.75,0.34889,0.58892,1.04249,0.82435,0.81134,0.90175,0.85568,0.32935,0.64008,0.81821,0.0003095,0.0003095,0.0003095
78,1091.58,0.32734,0.55605,1.01017,0.84717,0.88147,0.91769,0.87522,0.34443,0.51926,0.83652,0.000297125,0.000297125,0.000297125
79,1105.61,0.30845,0.5585,1.00275,0.86168,0.86937,0.91574,0.86922,0.3943,0.55618,0.87588,0.00028475,0.00028475,0.00028475
80,1119.74,0.31416,0.55726,1.00969,0.81796,0.89385,0.91228,0.87446,0.33528,0.54488,0.81509,0.000272375,0.000272375,0.000272375
81,1133.77,0.31088,0.54748,1.01661,0.85287,0.90486,0.92257,0.87455,0.37719,0.51984,0.87195,0.00026,0.00026,0.00026
82,1147.78,0.32342,0.53886,1.00877,0.85846,0.89417,0.91699,0.88015,0.3152,0.49854,0.805,0.000247625,0.000247625,0.000247625
83,1161.88,0.31528,0.55108,1.00474,0.76477,0.91167,0.91512,0.87866,0.32679,0.56651,0.83324,0.00023525,0.00023525,0.00023525
84,1175.85,0.31308,0.55239,1.01158,0.88145,0.89806,0.92306,0.87952,0.34914,0.49713,0.83921,0.000222875,0.000222875,0.000222875
85,1189.75,0.31245,0.57043,1.00834,0.90617,0.89122,0.92767,0.88516,0.36133,0.49401,0.8679,0.0002105,0.0002105,0.0002105
86,1203.79,0.30593,0.54477,1.00192,0.84853,0.8988,0.92729,0.88893,0.36594,0.48431,0.86726,0.000198125,0.000198125,0.000198125
87,1217.7,0.3149,0.53804,1.01459,0.79102,0.89735,0.92355,0.88319,0.365,0.52111,0.852,0.00018575,0.00018575,0.00018575
